Date,FinU
7/1960,0.879773756
8/1960,0.89444649
9/1960,0.910178916
10/1960,0.886959907
11/1960,0.879742392
12/1960,0.876775531
1/1961,0.885864338
2/1961,0.870143798
3/1961,0.852040614
4/1961,0.833369549
5/1961,0.826273921
6/1961,0.824266243
7/1961,0.807170521
8/1961,0.806490994
9/1961,0.8146997
10/1961,0.817088567
11/1961,0.829659444
12/1961,0.839168112
1/1962,0.858093534
2/1962,0.883632024
3/1962,0.934151706
4/1962,1.006137788
5/1962,1.060238089
6/1962,1.061798651
7/1962,1.031881707
8/1962,1.008015605
9/1962,1.011024094
10/1962,0.998297982
11/1962,1.009834515
12/1962,0.94522843
1/1963,0.902492669
2/1963,0.841036989
3/1963,0.794574624
4/1963,0.763761678
5/1963,0.737667717
6/1963,0.716757845
7/1963,0.698731858
8/1963,0.692139602
9/1963,0.674682465
10/1963,0.656892746
11/1963,0.643908686
12/1963,0.626566622
1/1964,0.617321644
2/1964,0.609517484
3/1964,0.605611887
4/1964,0.599651265
5/1964,0.59309383
6/1964,0.591674196
7/1964,0.597993446
8/1964,0.605293955
9/1964,0.612581001
10/1964,0.616096159
11/1964,0.627632727
12/1964,0.646010819
1/1965,0.672388679
2/1965,0.676252858
3/1965,0.68870646
4/1965,0.715974659
5/1965,0.746676395
6/1965,0.790732413
7/1965,0.772386363
8/1965,0.763564723
9/1965,0.760907048
10/1965,0.765567497
11/1965,0.771713424
12/1965,0.779136925
1/1966,0.794495731
2/1966,0.810311124
3/1966,0.837443451
4/1966,0.874076397
5/1966,0.923487118
6/1966,0.909950212
7/1966,0.922360081
8/1966,0.958114258
9/1966,0.926315052
10/1966,0.919659451
11/1966,0.923462123
12/1966,0.936248057
1/1967,0.979568653
2/1967,0.928464544
3/1967,0.905510755
4/1967,0.88476493
5/1967,0.87816718
6/1967,0.883166806
7/1967,0.875389143
8/1967,0.857739111
9/1967,0.860063276
10/1967,0.865824435
11/1967,0.866881286
12/1967,0.885197255
1/1968,0.894648713
2/1968,0.913766771
3/1968,0.926138207
4/1968,0.964045526
5/1968,0.925508351
6/1968,0.894048924
7/1968,0.88279306
8/1968,0.875033505
9/1968,0.88143907
10/1968,0.882983153
11/1968,0.905775427
12/1968,0.908833708
1/1969,0.922404819
2/1969,0.956153358
3/1969,0.948097716
4/1969,0.959020299
5/1969,0.995867376
6/1969,1.061497153
7/1969,1.065682267
8/1969,1.050901237
9/1969,1.048338144
10/1969,1.066528117
11/1969,1.078297008
12/1969,1.087874417
1/1970,1.110846589
2/1970,1.127185197
3/1970,1.159165327
4/1970,1.229185817
5/1970,1.204513172
6/1970,1.162094516
7/1970,1.124109924
8/1970,1.089101165
9/1970,1.077083151
10/1970,1.050811649
11/1970,1.021259002
12/1970,1.010208358
1/1971,0.986454576
2/1971,0.938006024
3/1971,0.91712964
4/1971,0.899561122
5/1971,0.897662303
6/1971,0.891073775
7/1971,0.904960005
8/1971,0.898177093
9/1971,0.890675174
10/1971,0.901628483
11/1971,0.902049017
12/1971,0.919350805
1/1972,0.874846636
