DATE,N7,TPU_RAW,TPU_SHARE,TPU
21916,40817,74,0.00181297,18.12970086
21947,37415,43,0.001149272,11.49271682
21976,41378,63,0.001522548,15.22548214
22007,40450,73,0.001804697,18.04697157
22037,42316,75,0.001772379,17.72379242
22068,40626,61,0.001501502,15.01501502
22098,42639,79,0.001852764,18.52763902
22129,40536,54,0.001332149,13.32149201
22160,42294,62,0.001465929,14.65928973
22190,43578,60,0.001376842,13.76841526
22221,40803,72,0.001764576,17.64576134
22251,40206,73,0.001815649,18.15649406
22282,41167,58,0.001408895,14.08895475
22313,36125,76,0.002103806,21.03806228
22341,40311,81,0.002009377,20.09377093
22372,40426,39,0.000964726,9.647256716
22402,40568,72,0.001774798,17.7479787
22433,39680,69,0.001738911,17.3891129
22463,39632,80,0.002018571,20.18570852
22494,38125,58,0.001521311,15.21311475
22525,37594,62,0.001649199,16.4919934
22555,42156,62,0.001470728,14.70727773
22586,39426,152,0.003855324,38.55323898
22616,39188,159,0.004057364,40.57364499
22647,41467,235,0.005667157,56.67157016
22678,38193,109,0.002853926,28.53926112
22706,43429,135,0.003108522,31.08521955
22737,43473,109,0.002507303,25.07303384
22767,42893,128,0.00298417,29.84169911
22798,43016,169,0.003928771,39.2877069
22828,41472,121,0.002917631,29.17631173
22859,41326,107,0.002589169,25.89169046
22890,42591,169,0.003967974,39.67974455
22920,44028,108,0.002452984,24.52984464
22951,42793,91,0.002126516,21.26516019
22981,36328,90,0.002477428,24.77427879
23012,36992,162,0.004379325,43.7932526
23043,33704,141,0.00418348,41.83479706
23071,37598,99,0.002633119,26.33118783
23102,42262,109,0.002579149,25.79149117
23132,45108,125,0.002771127,27.71127073
23163,43090,89,0.002065444,20.65444419
23193,41606,102,0.002451569,24.51569485
23224,41879,97,0.002316197,23.16196662
23255,43044,116,0.002694917,26.94916829
23285,45510,110,0.002417051,24.17051198
23316,43451,110,0.002531587,25.31587305
23346,43967,123,0.002797553,27.9755271
23377,45215,139,0.003074201,30.74201039
23408,41217,84,0.002037994,20.37994032
23437,45312,112,0.002471751,24.71751412
23468,44412,70,0.001576151,15.7615059
23498,47005,118,0.002510371,25.10371237
23529,43652,75,0.001718134,17.18134335
