"Date","Agric","Food","Soda","Beer","Smoke","Toys","Fun","Books","Hshld","Clths","Hlth","MedEq","Drugs","Chems","Rubbr","Txtls","BldMt","Cnstr","Steel","FabPr","Mach","ElcEq","Autos","Aero","Ships","Guns","Gold","Mines","Coal","Oil","Util","Telcm","PerSv","BusSv","Hardw","Softw","Chips","LabEq","Paper","Boxes","Trans","Whlsl","Rtail","Meals","Banks","Insur","RlEst","Fin","Other","RMRF","RF","MacroU","TPU","ShortRate","EPU","FinU"
1990-01-01,-0.1155,-0.1022,-0.1062,-0.0902,-0.0865,-0.1145,-0.1073,-0.0934,-0.0774,-0.0939,-0.1566,-0.096,-0.062,-0.0754,-0.098,-0.1022,-0.081,-0.0089,-0.0879,-0.0071,-0.0354,-0.0372,-0.0339,-0.0402,-0.1422,-0.0356,0.079,-0.0395,-0.0303,-0.0429,-0.0534,-0.1303,-0.1068,-0.0725,0.0105,-0.0352,-0.0305,-0.0856,-0.0783,-0.0489,-0.0821,-0.0754,-0.0559,-0.1205,-0.0971,-0.1057,-0.0868,-0.0828,-0.103,-0.0785,0.0057,0.683167329,30.92065151,7.9063,92,0.906721157
1990-02-01,0.0938,-0.0096,-0.0091,0.0048,-0.0256,0.0059,0.0189,-0.0016,0.0014,0.0214,-0.0147,0.0168,-0.0261,0.0257,0.0457,0.0198,0.0256,0.0626,0.0331,0.0327,0.0548,0.0147,0.0609,0.0452,-0.0873,-0.0271,-0.021,0.0491,0.0721,0.0309,0.0021,-0.0026,0.0317,0.0221,0.0427,0.0623,0.0302,0.0064,0.0159,0.0446,0.0567,0.0221,0.021,-8e-04,0.0388,0.0138,0.0089,0.0097,0.0243,0.0111,0.0057,0.673452224,30.6856246,8.0982,110,0.896628411
1990-03-01,0.0281,0.0534,0.0989,0.0621,0.0681,0.0673,0.0111,-0.0066,0.0416,0.0753,0.0613,0.0322,0.0372,0.0144,0.0675,0.0232,0.0485,0.0124,0.0629,0.0411,0.0398,0.0394,0.0356,0.0826,0.1444,0.0338,-0.0961,0.0452,0.0557,-0.006,-0.0075,0.0425,0.0507,0.0324,0.037,0.0767,0.0455,0.0564,0.0211,0.0408,0.0292,0.0306,0.0607,-0.0031,-0.0301,9e-04,0.024,-0.0217,0.0477,0.0183,0.0064,0.657183329,36.76700996,8.2911,104,0.904246758
1990-04-01,-0.0209,-3e-04,-0.0475,0.0232,0.0477,-0.0596,0.0123,-0.0697,-0.0188,-0.0104,-0.0206,-0.0273,0.009,-0.0344,-0.0483,-0.0259,-0.0267,-0.0549,-0.0702,-0.0097,-0.0277,-0.0043,-0.0451,-0.056,0.0214,5e-04,-0.118,-0.018,-0.0908,-0.0352,-0.055,-0.0327,-0.0022,-0.0247,-1e-04,-0.043,-0.0505,-0.036,-0.0317,0.0143,-0.0392,-0.0216,-0.0167,-0.053,-0.0429,-0.0448,-0.0423,-0.0337,0.0344,-0.0336,0.0069,0.650759054,36.44139918,8.3287,88,0.934198192
1990-05-01,0.0136,0.092,0.0837,0.159,0.0112,0.1236,0.1325,0.1036,0.098,0.0782,0.1503,0.1383,0.1248,0.0736,0.0834,0.0415,0.0841,0.1229,0.0737,0.1027,0.0595,0.0998,0.0801,0.1073,0.0131,0.095,0.0976,0.0342,0.1316,0.0598,0.0543,0.092,0.1098,0.0711,0.1158,0.1865,0.1347,0.0976,0.0604,0.0488,0.0458,0.0902,0.1189,0.1327,0.1055,0.105,0.0045,0.0443,0.1164,0.0842,0.0068,0.644284685,37.74057007,8.2616,97,0.967615381
1990-06-01,-0.0628,0.0281,0.0015,0.0102,0.0912,-0.043,-0.0373,-0.0226,0.0199,-0.0193,0.055,0.0438,0.0433,-0.0225,0.0121,-0.0484,-0.0295,-0.0302,-0.0146,0.0551,-0.0264,0.0019,-0.0293,0.0033,0.0421,-0.0223,-0.0704,-0.03,-0.0666,-0.0202,0.0075,-0.0473,0.0419,0.0193,-0.0196,0.0419,-0.0316,0.0325,0.0041,-0.0516,-0.0153,0.0043,0.0166,0.0116,-0.0362,-0.0065,-0.027,-0.006,0.0268,-0.0109,0.0063,0.640859629,40.41468986,8.0554,101,0.981493608
1990-07-01,0.0688,0.0037,0.0131,1e-04,0.0564,-0.0902,-0.0772,-0.0553,-0.0181,-0.0501,-0.0017,-6e-04,0.0315,0.0087,-0.0114,-0.012,0.0198,0.0295,0.0566,-0.0324,-0.0171,0.0158,-0.0269,-0.0271,-0.0417,-0.0695,0.1208,0.0719,-0.009,0.0835,0.0089,-0.0441,-0.0416,-0.0234,-0.0688,-0.163,-0.0554,-0.042,0.0154,-0.0083,-0.0248,-0.0391,-0.0372,-0.0731,-0.0763,-0.0122,-0.0633,-0.0546,-0.0155,-0.019,0.0068,0.646278906,39.8688757,7.9166,86,1.023178652
1990-08-01,-0.0924,-0.0702,-0.1039,-0.049,-0.0308,-0.1476,-0.1537,-0.0935,-0.0907,-0.1663,-0.0777,-0.0724,-0.0664,-0.1287,-0.1349,-0.14,-0.1309,-0.1241,-0.1022,-0.1225,-0.1354,-0.1352,-0.1464,-0.1327,-0.0975,-0.091,-0.0585,-0.0846,-0.1101,-0.0122,-0.0662,-0.1043,-0.1121,-0.0816,-0.1211,-0.1247,-0.1294,-0.1145,-0.1126,-0.0888,-0.1294,-0.0992,-0.1268,-0.1311,-0.1147,-0.1051,-0.1227,-0.1093,-0.1081,-0.1015,0.0066,0.663874122,34.01213172,7.7677,139,1.087663178
1990-09-01,-0.1361,-0.0106,-0.103,-0.0664,0.0094,-0.0855,-0.0348,-0.0616,-0.0745,-0.1285,-0.0604,-0.0245,-0.0445,-0.0664,-0.0619,-0.1708,-0.1032,-0.0627,-0.0612,-0.1682,-0.0935,-0.1039,-0.1104,-0.1017,-0.0288,0.0073,-0.0084,-0.0389,0.0344,-0.0163,0.0048,0.0181,-0.1221,-0.056,-0.0588,-0.1096,-0.0573,-0.1064,-0.074,-0.0508,-0.0771,-0.0504,-0.0936,-0.1243,-0.1278,-0.1067,-0.1393,-0.1078,-0.1206,-0.0612,0.006,0.656518426,33.18922224,7.7475,166,1.07189808
1990-10-01,-0.0273,0.0325,0.0494,0.075,0.0643,-0.0144,-0.0134,-0.0389,0.0198,-0.072,-0.0135,0.0091,0.017,0.0057,-0.0602,-0.1099,-0.0408,-0.1002,-0.1143,0.007,-0.1001,-0.0292,-0.0269,0.0312,-0.2243,-0.0042,-0.1736,-0.1537,-0.095,-0.0399,0.0723,0.0301,-0.026,-0.0333,-0.0358,-0.0025,-0.065,0.006,-0.0038,0.0173,-0.0237,-0.0363,-0.0303,-0.0367,-0.0906,-0.054,-0.1089,-0.0693,-0.031,-0.0192,0.0068,0.665840335,30.09598178,7.5627,138,1.036531818
