Year,Month,DATE,Three_Component_Index,News_Based_Policy_Uncert_Index
1985,1,1/1/85,125,104
1985,2,2/1/85,99,78
1985,3,3/1/85,112,101
1985,4,4/1/85,103,85
1985,5,5/1/85,120,98
1985,6,6/1/85,133,120
1985,7,7/1/85,128,111
1985,8,8/1/85,127,111
1985,9,9/1/85,127,111
1985,10,10/1/85,116,93
1985,11,11/1/85,122,85
1985,12,12/1/85,133,104
1986,1,1/1/86,156,144
1986,2,2/1/86,159,119
1986,3,3/1/86,160,120
1986,4,4/1/86,150,102
1986,5,5/1/86,133,132
1986,6,6/1/86,123,115
1986,7,7/1/86,132,131
1986,8,8/1/86,128,118
1986,9,9/1/86,132,126
1986,10,10/1/86,112,92
1986,11,11/1/86,115,98
1986,12,12/1/86,109,88
1987,1,1/1/87,122,110
1987,2,2/1/87,109,77
1987,3,3/1/87,122,99
1987,4,4/1/87,111,80
1987,5,5/1/87,110,88
1987,6,6/1/87,121,107
1987,7,7/1/87,106,81
1987,8,8/1/87,75,53
1987,9,9/1/87,79,60
1987,10,10/1/87,144,170
1987,11,11/1/87,155,183
1987,12,12/1/87,135,149
1988,1,1/1/88,132,143
1988,2,2/1/88,117,102
1988,3,3/1/88,105,82
1988,4,4/1/88,114,98
1988,5,5/1/88,96,99
1988,6,6/1/88,90,88
1988,7,7/1/88,85,81
1988,8,8/1/88,100,95
1988,9,9/1/88,95,85
1988,10,10/1/88,102,98
1988,11,11/1/88,114,102
1988,12,12/1/88,100,78
1989,1,1/1/89,105,87
1989,2,2/1/89,85,51
1989,3,3/1/89,97,73
1989,4,4/1/89,109,92
1989,5,5/1/89,88,84
1989,6,6/1/89,95,96
1989,7,7/1/89,85,78
1989,8,8/1/89,96,83
1989,9,9/1/89,91,75
1989,10,10/1/89,92,76
1989,11,11/1/89,108,105
1989,12,12/1/89,107,104
1990,1,1/1/90,100,92
1990,2,2/1/90,90,110
1990,3,3/1/90,86,104
1990,4,4/1/90,77,88
1990,5,5/1/90,119,97
1990,6,6/1/90,121,101
1990,7,7/1/90,112,86
1990,8,8/1/90,142,139
1990,9,9/1/90,158,166
1990,10,10/1/90,141,138
1990,11,11/1/90,145,152
1990,12,12/1/90,134,134
1991,1,1/1/91,176,204
1991,2,2/1/91,115,107
1991,3,3/1/91,116,108
1991,4,4/1/91,107,93
1991,5,5/1/91,95,82
1991,6,6/1/91,97,86
1991,7,7/1/91,94,81
1991,8,8/1/91,101,99
1991,9,9/1/91,117,127
1991,10,10/1/91,106,108
1991,11,11/1/91,122,141
1991,12,12/1/91,140,171
1992,1,1/1/92,109,116
