Date,h=1,h=3,h=12
7/1960,0.609140985,0.735389538,0.854944103
8/1960,0.616005578,0.739703922,0.856579121
9/1960,0.622258573,0.745897789,0.861597236
10/1960,0.633818401,0.756852195,0.867507096
11/1960,0.662804356,0.779457608,0.876414103
12/1960,0.680175988,0.795536812,0.885951663
1/1961,0.669719044,0.793117425,0.890013815
2/1961,0.664356212,0.791467087,0.892404572
3/1961,0.665259076,0.790950774,0.890918963
4/1961,0.668876405,0.788847828,0.885800559
5/1961,0.653010547,0.776567412,0.880868581
6/1961,0.639624502,0.767139021,0.877739699
7/1961,0.626701587,0.757824946,0.874491397
8/1961,0.621709824,0.75394324,0.872484711
9/1961,0.621303405,0.751256811,0.867826835
10/1961,0.6195594,0.747112001,0.862171888
11/1961,0.609519994,0.738370696,0.856047779
12/1961,0.599146618,0.731134833,0.852772612
1/1962,0.604044547,0.735584931,0.852776558
2/1962,0.602877117,0.736087879,0.8515528
3/1962,0.590077688,0.725507237,0.847397264
4/1962,0.590372735,0.724267769,0.844536097
5/1962,0.588603991,0.722173665,0.843136446
6/1962,0.583095411,0.716871423,0.840279365
7/1962,0.572801085,0.706093481,0.834954964
8/1962,0.561988856,0.695843021,0.828799627
9/1962,0.556630401,0.690239753,0.823248571
10/1962,0.553554764,0.685392717,0.81808653
11/1962,0.553727546,0.682206793,0.81286949
12/1962,0.552244821,0.677468096,0.807816113
1/1963,0.551298892,0.673211654,0.803666922
2/1963,0.542339182,0.66406246,0.799048676
3/1963,0.532798975,0.656663748,0.796670774
4/1963,0.538268643,0.660380933,0.798008507
5/1963,0.536038131,0.65823803,0.797355536
6/1963,0.534247133,0.65692159,0.79735713
7/1963,0.531859939,0.655467583,0.797768335
8/1963,0.532839262,0.657710896,0.799451579
9/1963,0.532269092,0.658052094,0.799097495
10/1963,0.529733766,0.656311438,0.797833561
11/1963,0.53615173,0.661520244,0.79864915
12/1963,0.546800761,0.667049081,0.798487994
1/1964,0.554048726,0.670463984,0.798506199
2/1964,0.548459916,0.665464061,0.79623111
3/1964,0.538936708,0.657192546,0.793756897
4/1964,0.544318453,0.65960028,0.794180162
5/1964,0.530304843,0.651240779,0.793714424
6/1964,0.528050078,0.652996603,0.797715523
7/1964,0.53563731,0.662664962,0.804889694
8/1964,0.552893633,0.678399943,0.812325477
9/1964,0.582384292,0.704521661,0.822544411
10/1964,0.628760325,0.741287437,0.83463848
11/1964,0.641281443,0.754199275,0.840710119
12/1964,0.60730679,0.72556683,0.829645838
1/1965,0.581605739,0.704023468,0.820897685
2/1965,0.561900212,0.687921427,0.814038185
3/1965,0.55160048,0.678428124,0.80939741
4/1965,0.547648701,0.673630532,0.806061308
5/1965,0.54168159,0.668984149,0.803820348
6/1965,0.542914191,0.671860264,0.805097205
7/1965,0.549194388,0.676374606,0.807086785
8/1965,0.546671051,0.672433039,0.806025308
9/1965,0.5558227,0.676450563,0.807409392
10/1965,0.549668411,0.673318584,0.807979009
11/1965,0.54739852,0.674458463,0.8108508
12/1965,0.557082207,0.685477951,0.817933329
1/1966,0.561859371,0.690510246,0.820328118
2/1966,0.570837765,0.699240154,0.825766222
3/1966,0.580761176,0.707491799,0.830663234
4/1966,0.589544947,0.714614982,0.834531468
5/1966,0.596899396,0.721093538,0.838471957
6/1966,0.592053891,0.717805322,0.839190129
7/1966,0.591902853,0.7174959,0.840142077
8/1966,0.595658563,0.721035221,0.842810936
